datetime,open,high,low,close,volume,Price Movement,ATR,VWAP,RSI,SMA_9,SMA_21
2024-12-10 09:15:00+05:30,804.3,809.6,799.9,805.6,4126478,9.700000000000045,,805.6,,,
2024-12-10 10:15:00+05:30,805.35,810.45,803.15,808.65,1740459,7.300000000000068,,806.5047992078319,,,
2024-12-10 11:15:00+05:30,808.65,809.2,802.3,802.95,1270656,6.900000000000091,,805.8719630483273,,,
2024-12-10 12:15:00+05:30,802.95,802.95,798.75,800.0,1464483,4.2000000000000455,,804.8722752914529,,,
2024-12-10 13:15:00+05:30,800.2,800.8,797.45,798.85,1084189,3.349999999999909,,804.1981986864905,,,
2024-12-10 14:15:00+05:30,798.85,800.85,798.3,799.65,1879519,2.550000000000068,,803.4590852941744,,,
2024-12-10 15:15:00+05:30,799.65,801.6,799.25,801.0,1349174,2.3500000000000227,,803.2021944902956,,,
2024-12-11 09:15:00+05:30,802.7,806.0,800.0,803.25,2127290,6.0,,803.208955194064,,,
2024-12-11 10:15:00+05:30,803.3,805.5,802.5,802.7,747039,3.0,,803.1848749820051,,802.5166666666667,
2024-12-11 11:15:00+05:30,802.85,806.95,801.6,803.3,1073092,5.350000000000023,,803.1922013346989,,802.2611111111111,
2024-12-11 12:15:00+05:30,803.2,805.0,801.5,803.7,858717,3.5,,803.2168079022877,,801.7111111111111,
2024-12-11 13:15:00+05:30,803.65,804.45,801.55,801.8,721537,2.900000000000091,,803.1613776758447,,801.5833333333334,
2024-12-11 14:15:00+05:30,801.8,801.8,799.0,799.25,1469454,2.7999999999999545,,802.8727294004892,,801.5,
2024-12-11 15:15:00+05:30,799.2,799.5,798.2,799.45,682731,1.2999999999999545,4.3714285714285905,802.7592637963588,36.88699360341152,801.5666666666667,
2024-12-12 09:15:00+05:30,799.2,802.0,788.0,791.2,2782245,14.0,4.678571428571445,801.3835262239742,27.287066246056767,800.6277777777779,
2024-12-12 10:15:00+05:30,791.15,792.4,786.2,788.85,1623024,6.199999999999932,4.600000000000007,800.569840500955,18.06451612903234,799.2777777777778,
2024-12-12 11:15:00+05:30,788.8,789.35,786.2,786.7,1058860,3.1499999999999773,4.3321428571428555,800.0062636491028,20.400728597449955,797.438888888889,
2024-12-12 12:15:00+05:30,786.7,790.8,786.3,789.0,1068719,4.5,4.353571428571423,799.5726619127498,29.477611940298473,795.9166666666666,
2024-12-12 13:15:00+05:30,789.0,790.4,787.4,789.6,859866,3.0,4.32857142857143,799.2662700198073,32.38095238095238,794.3944444444445,
2024-12-12 14:15:00+05:30,789.6,790.35,785.5,786.35,2105138,4.850000000000023,4.492857142857141,798.3627100885363,26.829268292683054,792.4666666666667,
2024-12-12 15:15:00+05:30,786.3,787.45,785.8,787.0,1048257,1.650000000000091,4.442857142857146,797.9802217833784,25.0,790.8222222222223,797.5642857142857
2024-12-13 09:15:00+05:30,789.35,791.0,781.05,781.95,2847972,9.950000000000045,4.725000000000007,796.6370296195824,15.422077922077946,788.9000000000001,796.4380952380952
2024-12-13 10:15:00+05:30,781.95,782.3,775.0,778.3,2133430,7.2999999999999545,5.03214285714286,795.5540216800528,14.011799410029468,786.55,794.992857142857
2024-12-13 11:15:00+05:30,778.3,788.0,777.55,785.05,2227491,10.450000000000045,5.396428571428577,794.9439115476943,27.215980024968886,785.8666666666667,794.1404761904762
2024-12-13 12:15:00+05:30,784.75,789.4,781.15,786.35,1851172,8.25,5.73571428571429,794.5481798098415,28.81562881562887,785.588888888889,793.4904761904761
2024-12-13 13:15:00+05:30,786.35,790.7,783.15,788.55,2013484,7.550000000000068,6.067857142857146,794.2620874495753,33.93939393939394,785.7944444444444,793.0
2024-12-13 14:15:00+05:30,788.65,790.95,786.55,790.3,2102315,4.400000000000091,6.18214285714287,794.0741325979582,38.936959208899836,785.9388888888889,792.5547619047618
2024-12-13 15:15:00+05:30,790.5,792.5,789.85,790.7,850562,2.6499999999999773,6.278571428571444,794.0105931434591,39.23739237392377,786.0611111111111,792.0642857142857
2024-12-16 09:15:00+05:30,791.45,793.95,787.05,788.15,2236836,6.900000000000091,5.771428571428593,793.7340524832099,45.636623748211655,786.2611111111111,791.3452380952381
2024-12-16 10:15:00+05:30,788.3,788.4,784.2,784.7,1373753,4.199999999999932,5.628571428571449,793.4796227924089,44.244105409153995,786.0055555555556,790.4880952380952
2024-12-16 11:15:00+05:30,784.7,786.0,784.05,784.3,824227,1.9500000000000455,5.5428571428571685,793.327087266083,46.50145772594741,786.2666666666667,789.5833333333334
